Index,Sort_ID,ID,Text_Unit_ID,Stressed_Unit,Morph,Lemma,Analysis,Rel,Trans,Part_Of_Speech,Meaning,Textual_Unit,Translation
12,1,119526,S0050-3,is sí,is,is 1,3sg.pres.ind.,No,intrans.,verb,"to be, the copula",issí dias insin oingther leusom,Those are the two people that are anointed among them.
13,2,119527,S0050-3,is sí,sí,3sg.fem.indp.pron.,nom.sg.fem.,,,pronoun_independent,"she, her, it",issí dias insin oingther leusom,Those are the two people that are anointed among them.
14,3,119528,S0050-3,dias,dias,diäs,nom.sg.,,,noun,"pair, couple",issí dias insin oingther leusom,Those are the two people that are anointed among them.
15,4,119529,S0050-3,in sin,in,in 1,nom.sg.neut.,,,definite_article,"the, definite article",issí dias insin oingther leusom,Those are the two people that are anointed among them.
16,5,119530,S0050-3,in sin,sin,sin,nom.sg.neut.,,,pronoun_demonstrative_distal,"that one, those ones, the one in there ; that, those",issí dias insin oingther leusom,Those are the two people that are anointed among them.
17,6,119531,S0050-3,oingther,oingther,ongaid,3sg.pres.ind.pass.rel.,Yes,pass.,verb,to anoint,issí dias insin oingther leusom,Those are the two people that are anointed among them.
18,7,119532,S0050-3,leu-som,leu,la,3pl.,,,preposition,"with, by, along with, and, in addition to, as well as, on account of, because of, by reason of",issí dias insin oingther leusom,Those are the two people that are anointed among them.
19,8,119533,S0050-3,leu-som,som,nota augens,3pl.,,,particle_pronominal,emphasising particle,issí dias insin oingther leusom,Those are the two people that are anointed among them.
20,1,140325,S0050-4,.i.,.i.,.i.,,,,,"id est, it is",.i. inna sacardd,"that is, of the priests"
21,2,119534,S0050-4,inna sacardd,inna,in 1,gen.pl.masc.,,,definite_article,"the, definite article",.i. inna sacardd,"that is, of the priests"
22,3,119535,S0050-4,inna sacardd,sacardd,sacart,gen.pl.,,,noun,priest,.i. inna sacardd,"that is, of the priests"
23,1,140326,S0050-5,.i.,.i.,.i.,,,,,"id est, it is",.i. danáircechnatar som sacaird dí triub leui,"That is, priests of the tribe of Levi prophesied him."
24,2,119537,S0050-5,da·n-áircechnatar-som,d,do·,,,,particle_preverb,aspectual and lexicalized meanings,.i. danáircechnatar som sacaird dí triub leui,"That is, priests of the tribe of Levi prophesied him."
25,3,119538,S0050-5,da·n-áircechnatar-som,a·,3sg.masc.inf.pron.,A,,,pronoun_infixed,him,.i. danáircechnatar som sacaird dí triub leui,"That is, priests of the tribe of Levi prophesied him."
26,4,119539,S0050-5,da·n-áircechnatar-som,·náir,ar·,,,,particle_preverb,aspectual and lexicalized meanings,.i. danáircechnatar som sacaird dí triub leui,"That is, priests of the tribe of Levi prophesied him."
27,5,119540,S0050-5,da·n-áircechnatar-som,∅,fo·,,,,particle_preverb,aspectual and lexicalized meanings,.i. danáircechnatar som sacaird dí triub leui,"That is, priests of the tribe of Levi prophesied him."
28,6,119536,S0050-5,da·n-áircechnatar-som,da·náircechnatar,do·aurchain,3pl.pret.,No,trans.,verb,"to foretell, to prophesy",.i. danáircechnatar som sacaird dí triub leui,"That is, priests of the tribe of Levi prophesied him."
29,7,119541,S0050-5,da·n-áircechnatar-som,som,nota augens,3sg.masc.,,,particle_pronominal,emphasising particle,.i. danáircechnatar som sacaird dí triub leui,"That is, priests of the tribe of Levi prophesied him."
30,8,119542,S0050-5,sacaird,sacaird,sacart,nom.pl.,,,noun,priest,.i. danáircechnatar som sacaird dí triub leui,"That is, priests of the tribe of Levi prophesied him."
31,9,119543,S0050-5,dí triub,dí,di,dat.,,,preposition,"away, from, cause or reason, by",.i. danáircechnatar som sacaird dí triub leui,"That is, priests of the tribe of Levi prophesied him."
32,10,119544,S0050-5,dí triub,triub,triub,dat.sg.,,,noun,tribe,.i. danáircechnatar som sacaird dí triub leui,"That is, priests of the tribe of Levi prophesied him."
33,11,119545,S0050-5,leui,leui,Levi,gen.sg.,,,proper_noun,Levi,.i. danáircechnatar som sacaird dí triub leui,"That is, priests of the tribe of Levi prophesied him."
34,1,119546,S0050-6,trede,trede,tréide,nom.sg.,,,noun,"three things ; triple, consisting of three things",trede imbí nuall dorími som sunt sís ·,"Three instances in which there is usually an outcry, he enumerates here below."
35,2,119548,S0050-6,i·mbí,i·,i,dat.,,,preposition,"in, into",trede imbí nuall dorími som sunt sís ·,"Three instances in which there is usually an outcry, he enumerates here below."
36,3,119549,S0050-6,i·mbí,∅,-(s)a·,,,,pronoun_relative,"which, who, whose",trede imbí nuall dorími som sunt sís ·,"Three instances in which there is usually an outcry, he enumerates here below."
37,4,119547,S0050-6,i·mbí,·mbí,ad·tá,3sg.hab.,Yes,intrans.,verb,"to be, to exist, ",trede imbí nuall dorími som sunt sís ·,"Three instances in which there is usually an outcry, he enumerates here below."
38,5,119550,S0050-6,nuall,nuall,núall,nom.sg.,,,noun,"a loud noise; in pl: shouts, cries, acclamations, utterance",trede imbí nuall dorími som sunt sís ·,"Three instances in which there is usually an outcry, he enumerates here below."
39,6,119552,S0050-6,do·rími-som,do·,do·,,,,particle_preverb,aspectual and lexicalized meanings,trede imbí nuall dorími som sunt sís ·,"Three instances in which there is usually an outcry, he enumerates here below."
40,7,119551,S0050-6,do·rími-som,do·rími,do·rími,3sg.pres.ind.,No,trans.,verb,"to enumerate, to mention; to tell, to relate; to count, to speak of, to account",trede imbí nuall dorími som sunt sís ·,"Three instances in which there is usually an outcry, he enumerates here below."
41,8,119553,S0050-6,do·rími-som,som,nota augens,3sg.masc.,,,particle_pronominal,emphasising particle,trede imbí nuall dorími som sunt sís ·,"Three instances in which there is usually an outcry, he enumerates here below."
42,9,119554,S0050-6,sunt,sunt,sund,,,,adverb,"here, in this place; hither, to this place",trede imbí nuall dorími som sunt sís ·,"Three instances in which there is usually an outcry, he enumerates here below."
43,10,119556,S0050-6,sís,s,s-,compos.,,,particle_prefix,"“towards” + words denoting points on the compass, and words denoting location generally",trede imbí nuall dorími som sunt sís ·,"Three instances in which there is usually an outcry, he enumerates here below."
44,11,119557,S0050-6,sís,ís,ís 1,,,,preposition,"below, under",trede imbí nuall dorími som sunt sís ·,"Three instances in which there is usually an outcry, he enumerates here below."
45,12,119555,S0050-6,sís,sís,sís,,,,adverb,"down, downwards, below, onwards, throughout",trede imbí nuall dorími som sunt sís ·,"Three instances in which there is usually an outcry, he enumerates here below."
46,1,140327,S0050-7,.i.,.i.,.i.,,,,,"id est, it is",.i. huambí nuall,"that is, from which there is an outcry"
47,2,119559,S0050-7,hua·mbí,hua·,ó 1,dat.,,,preposition,"from, out of, by",.i. huambí nuall,"that is, from which there is an outcry"
48,3,119560,S0050-7,hua·mbí,∅,-(s)a·,,,,pronoun_relative,"which, who, whose",.i. huambí nuall,"that is, from which there is an outcry"
49,4,119558,S0050-7,hua·mbí,·mbí,ad·tá,3sg.hab.,Yes,intrans.,verb,"to be, to exist, ",.i. huambí nuall,"that is, from which there is an outcry"
50,5,119561,S0050-7,nuall,nuall,núall,nom.sg.,,,noun,"a loud noise; in pl: shouts, cries, acclamations, utterance",.i. huambí nuall,"that is, from which there is an outcry"
51,1,140328,S0050-8,.i.,.i.,.i.,,,,,"id est, it is",.i. amal nathracha bodra .i. amal dungniat sidi,"that is, like deaf adders; that is, as these behave"
52,2,119562,S0050-8,amal nathracha,amal,amail 1,,,,preposition,"as, like ",.i. amal nathracha bodra .i. amal dungniat sidi,"that is, like deaf adders; that is, as these behave"
53,3,119563,S0050-8,amal nathracha,nathracha,nathair,acc.pl.,,,noun,"snake, serpent",.i. amal nathracha bodra .i. amal dungniat sidi,"that is, like deaf adders; that is, as these behave"
54,4,119564,S0050-8,bodra,bodra,bodar,acc.pl.fem.,,,adjective,deaf,.i. amal nathracha bodra .i. amal dungniat sidi,"that is, like deaf adders; that is, as these behave"
55,5,140329,S0050-8,.i.,.i.,.i.,,,,,"id est, it is",.i. amal nathracha bodra .i. amal dungniat sidi,"that is, like deaf adders; that is, as these behave"
56,6,119565,S0050-8,amal du·ngniat-sidi,amal,amail 2,,,,conjunction,"as, like; translating Latin ut ",.i. amal nathracha bodra .i. amal dungniat sidi,"that is, like deaf adders; that is, as these behave"
57,7,119567,S0050-8,amal du·ngniat-sidi,du·,"de·, dí·",,,,particle_preverb,aspectual and lexicalized meanings,.i. amal nathracha bodra .i. amal dungniat sidi,"that is, like deaf adders; that is, as these behave"
58,8,119568,S0050-8,amal du·ngniat-sidi,∅,nas.rel.particle,,,,particle_relative,nasalising relative particle,.i. amal nathracha bodra .i. amal dungniat sidi,"that is, like deaf adders; that is, as these behave"
59,9,119566,S0050-8,amal du·ngniat-sidi,du·ngniat,do·gní,3pl.pres.ind.,Yes,intrans.,verb,"to do, to make",.i. amal nathracha bodra .i. amal dungniat sidi,"that is, like deaf adders; that is, as these behave"
60,10,119569,S0050-8,amal dungniat-sidi,sidi,-side,nom.pl.,,,particle_anaphoric,"that one, he, she, it, they",.i. amal nathracha bodra .i. amal dungniat sidi,"that is, like deaf adders; that is, as these behave"
61,1,119570,S0050-9,is airi,is,is 1,3sg.pres.ind.,No,intrans.,verb,"to be, the copula",is airi didiu robu ecen diucrae friu som quia erant,"Therefore, then, it was necessary to shout to them, because they were (in the desert)."
62,2,119571,S0050-9,is airi,airi,ar 1,3sg.neut.acc.,,,preposition,"in front of, for the sake of, in return for, on account of, because of; against (as protection); abstract: by virtue of, by means of, through",is airi didiu robu ecen diucrae friu som quia erant,"Therefore, then, it was necessary to shout to them, because they were (in the desert)."
63,3,119572,S0050-9,didiu,didiu,didiu,,,,particle_discourse,"in logical sequence, drawing a conclusion: therefore, then; referring to preceding, introducing additional detail or explanation; hence",is airi didiu robu ecen diucrae friu som quia erant,"Therefore, then, it was necessary to shout to them, because they were (in the desert)."
64,4,119574,S0050-9,robu ecen,ro,ro· 2,,,,particle_augment,"with pres. ind. and subj. with perfective sense; to express potentiality or possibility, with all forms of the verb ; perfective augment",is airi didiu robu ecen diucrae friu som quia erant,"Therefore, then, it was necessary to shout to them, because they were (in the desert)."
65,5,119573,S0050-9,robu ecen,robu,is 1,augm.3sg.pret.,No,intrans.,verb,"to be, the copula",is airi didiu robu ecen diucrae friu som quia erant,"Therefore, then, it was necessary to shout to them, because they were (in the desert)."
66,6,119575,S0050-9,robu ecen,ecen,Danïél,nom.sg.,,,proper_noun,"Daniel, 'God is my judge', necessity, compulsion, force",is airi didiu robu ecen diucrae friu som quia erant,"Therefore, then, it was necessary to shout to them, because they were (in the desert)."
67,7,119576,S0050-9,diucrae,diucrae,díucrae,nom.sg.,,,verbal_noun,"the act of crying out, shouting; appeal, entreaty",is airi didiu robu ecen diucrae friu som quia erant,"Therefore, then, it was necessary to shout to them, because they were (in the desert)."
68,8,119577,S0050-9,friu-som,friu,fri,3pl.,,,preposition,"towards, against, standard of comparison ",is airi didiu robu ecen diucrae friu som quia erant,"Therefore, then, it was necessary to shout to them, because they were (in the desert)."
69,9,119578,S0050-9,friu-som,som,nota augens,3pl.,,,particle_pronominal,emphasising particle,is airi didiu robu ecen diucrae friu som quia erant,"Therefore, then, it was necessary to shout to them, because they were (in the desert)."
70,10,119579,S0050-9,quia erant,quia,quia,,,,conjunction,because,is airi didiu robu ecen diucrae friu som quia erant,"Therefore, then, it was necessary to shout to them, because they were (in the desert)."
71,11,119580,S0050-9,quia erant,erant,sum,3pl.impf.,,,verb,to be,is airi didiu robu ecen diucrae friu som quia erant,"Therefore, then, it was necessary to shout to them, because they were (in the desert)."
72,1,140330,S0050-10,.i.,.i.,.i.,,,,,"id est, it is",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
73,2,119581,S0050-10,amal tegdais ,amal,amail 1,,,,preposition,"as, like ",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
74,3,119582,S0050-10,amal tegdais ,tegdais,tegdais,acc.sg.,,,noun,"house, dwelling, mansion",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
75,4,119584,S0050-10,fora·tochar,for,for,acc.,,,preposition,"upon, over, on",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
76,5,119585,S0050-10,fora·tochar,a·,-(s)a·,,,,pronoun_relative,"which, who, whose",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
77,6,119586,S0050-10,fora·tochar,·to,do·,,,,particle_preverb,aspectual and lexicalized meanings,.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
78,7,119583,S0050-10,fora·tochar,·tochar,do·cuirethar,3sg.pres.ind.pass.,Yes,pass.,verb,"to put, to cast, to produce, to happens, to invites, to summons",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
79,8,119588,S0050-10,deglí,deg,dag 1,compos.,,,adjective,"good, noble",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
80,9,119589,S0050-10,deglí,lí,lí,nom.sg.,,,noun,"beauty, lustre, glory",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
81,10,119587,S0050-10,deglí,deglí,dag-lí,nom.sg.,,,noun,good color,.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
82,11,119591,S0050-10,anechtair,an,an- 2,compos.,,,particle_prefix,"from + words denoting points on the compass, and words denoting location generally",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
83,12,119592,S0050-10,anechtair,echtair,echtar,,,,preposition,"outside, without",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
84,13,119590,S0050-10,anechtair,anechtair,anechtair,,,,adverb,from outside,.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
85,14,119593,S0050-10,7 is fás,7,ocus 2,,,,conjunction,"coordinating: and, since ",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
86,15,119594,S0050-10,7 is fás,is,is 1,3sg.pres.ind.,No,intrans.,verb,"to be, the copula",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
87,16,119595,S0050-10,7 is fás,fás,fás,nom.sg.masc.,,,adjective,"empty, vain, futile, wanting",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
88,17,119596,S0050-10,a inchrud,a,3sg.fem.poss.pron.,3sg.fem.,,,pronoun_possessive,her,.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
89,18,119597,S0050-10,a inchrud,inchrud,inchrod,nom.sg.,,,noun,"gear, equipment, funiture",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
90,19,119598,S0050-10,a mmedón,a,a 7,,,,preposition,"out of, from ",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
91,20,119599,S0050-10,a mmedón,mmedón,medón,dat.sg.,,,noun,"middle, center, midst ",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
92,21,119600,S0050-10,is sam[laid],Is,is 1,3sg.pres.ind.,No,intrans.,verb,"to be, the copula",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
93,22,119601,S0050-10,is sam[laid],samlaid,amail 1,3sg.neut.,,,preposition,"as, like ",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
94,23,119602,S0050-10,sin,sin,sin,acc.sg.neut.,,,pronoun_demonstrative_distal,"that one, those ones, the one in there ; that, those",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
95,24,119604,S0050-10,ro·batar-som,ro·,ro· 2,,,,particle_augment,"with pres. ind. and subj. with perfective sense; to express potentiality or possibility, with all forms of the verb ; perfective augment",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
96,25,119603,S0050-10,ro·batar-som,ro·batar,ad·tá,augm.3pl.pret.,No,intrans.,verb,"to be, to exist, ",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
97,26,119605,S0050-10,ro·batar-som,som,nota augens,3pl.,,,particle_pronominal,emphasising particle,.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
98,27,140331,S0050-10,.i.,.i.,.i.,,,,,"id est, it is",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
99,28,119606,S0050-10,amal mbís,amal,amail 2,,,,conjunction,"as, like; translating Latin ut ",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
100,29,119608,S0050-10,amal mbís,∅,nas.rel.particle,,,,particle_relative,nasalising relative particle,.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
101,30,119607,S0050-10,amal mbís,mbís,ad·tá,3sg.hab.rel.,Yes,intrans.,verb,"to be, to exist, ",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
102,31,119609,S0050-10,tegdís,tegdís,tegdais,nom.sg.,,,noun,"house, dwelling, mansion",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
103,32,119610,S0050-10,fás,fás,fás,nom.sg.fem.,,,adjective,"empty, vain, futile, wanting",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
104,33,119611,S0050-10,[a] [mm]edón ,a,a 7,,,,preposition,"out of, from ",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
105,34,119612,S0050-10,[a] [mm]edón ,mmedón,medón,dat.sg.,,,noun,"middle, center, midst ",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
106,35,119613,S0050-10,7 scópthe,7,ocus 2,,,,conjunction,"coordinating: and, since ",.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
107,36,119614,S0050-10,7 scópthe,scópthe,scópthae,nom.sg.fem.,,,verbal_participle,swept,.i. amal tegdais foratochar deglí anechtair 7 is fás a inchrud ammedón Is sam[laid]sin robatar som .i. amal mbís tegdís fás [amm]edón 7 scópthe,"That is, like a house on which a good color is put outside and its gear is wanting within. It is like that that they were, namely, as a house is empty within and swept."
108,1,119615,S0050-11,scópthe,scópthe,scópthae,nom.sg.fem.,,,verbal_participle,swept,scópthe,swept
109,1,119616,S0050-12,isin domun,i,i,dat.,,,preposition,"in, into",isin domunsan,"in the world, indeed"
110,2,119617,S0050-12,isin domun,sin,in 1,dat.sg.masc.,,,definite_article,"the, definite article",isin domunsan,"in the world, indeed"
111,3,119618,S0050-12,isin domun,domun,domun 1,dat.sg.,,,noun,"world, the Earth",isin domunsan,"in the world, indeed"
112,4,119619,S0050-12,san,san,-són,nom.sg.neut.,,,particle_anaphoric,that (mentioned above) that is,isin domunsan,"in the world, indeed"
113,1,140332,S0050-13,.i.,.i.,.i.,,,,,"id est, it is",.i. aní doruthethaig adam hipardus robu dithrub ho chríst intan immerumediar adam,"That is, that which Adam had possessed in Paradise, it was [made] a desert by Christ, when Adam sinned."
114,2,119620,S0050-13,a n-í,a,in 1,nom.sg.neut.,,,definite_article,"the, definite article",.i. aní doruthethaig adam hipardus robu dithrub ho chríst intan immerumediar adam,"That is, that which Adam had possessed in Paradise, it was [made] a desert by Christ, when Adam sinned."
115,3,119621,S0050-13,a n-í,ní,í 1,nom.sg.neut.,,,pronoun_propword,that ; substantivizing particle,.i. aní doruthethaig adam hipardus robu dithrub ho chríst intan immerumediar adam,"That is, that which Adam had possessed in Paradise, it was [made] a desert by Christ, when Adam sinned."
116,4,119623,S0050-13,doru·thethaig,do,"de·, dí·",,,,particle_preverb,aspectual and lexicalized meanings,.i. aní doruthethaig adam hipardus robu dithrub ho chríst intan immerumediar adam,"That is, that which Adam had possessed in Paradise, it was [made] a desert by Christ, when Adam sinned."
