Index,Sort_ID,ID,Text_Unit_ID,Stressed_Unit,Morph,Lemma,Analysis,Rel,Trans,Part_Of_Speech,Meaning,Textual_Unit,Translation
11,11,116583,S0022-1,mad i ndib ṅ-uarib,d,is 1,3sg.pres.subj.,No,intrans.,verb,"to be, the copula",arisairchenn ṁbes salt hiciunn nóidécdi madindib ṅuarib deac nammá bas laigu cachmí aescai oldaas trichtaige,"For it is certain that there should be a leap at the end of the nineteen-year cycle, if every lunar month is less by twelve hours only than a space of thirty days."
12,12,116584,S0022-1,mad i ndib ṅ-uarib,i,i,dat.,,,preposition,"in, into",arisairchenn ṁbes salt hiciunn nóidécdi madindib ṅuarib deac nammá bas laigu cachmí aescai oldaas trichtaige,"For it is certain that there should be a leap at the end of the nineteen-year cycle, if every lunar month is less by twelve hours only than a space of thirty days."
13,13,116585,S0022-1,mad i ndib ṅ-uarib,ndib,da,dat.du.fem.,,,adjective_numeral,two,arisairchenn ṁbes salt hiciunn nóidécdi madindib ṅuarib deac nammá bas laigu cachmí aescai oldaas trichtaige,"For it is certain that there should be a leap at the end of the nineteen-year cycle, if every lunar month is less by twelve hours only than a space of thirty days."
14,14,116586,S0022-1,mad i ndib ṅ-uarib,ṅuarib,úar 2,dat.du.,,,noun,"hour, time, occasion; point of time",arisairchenn ṁbes salt hiciunn nóidécdi madindib ṅuarib deac nammá bas laigu cachmí aescai oldaas trichtaige,"For it is certain that there should be a leap at the end of the nineteen-year cycle, if every lunar month is less by twelve hours only than a space of thirty days."
15,15,116587,S0022-1,deac,deac,deëc,,,,numeral,"-teen, expressing the addition of 10 to the units 1-9, Ten",arisairchenn ṁbes salt hiciunn nóidécdi madindib ṅuarib deac nammá bas laigu cachmí aescai oldaas trichtaige,"For it is certain that there should be a leap at the end of the nineteen-year cycle, if every lunar month is less by twelve hours only than a space of thirty days."
16,16,116588,S0022-1,nammá,nammá,nammá,,,,particle_focus,"only, merely",arisairchenn ṁbes salt hiciunn nóidécdi madindib ṅuarib deac nammá bas laigu cachmí aescai oldaas trichtaige,"For it is certain that there should be a leap at the end of the nineteen-year cycle, if every lunar month is less by twelve hours only than a space of thirty days."
17,17,116589,S0022-1,bas laigu,bas,is 1,3sg.pres.subj.rel.,Yes,intrans.,verb,"to be, the copula",arisairchenn ṁbes salt hiciunn nóidécdi madindib ṅuarib deac nammá bas laigu cachmí aescai oldaas trichtaige,"For it is certain that there should be a leap at the end of the nineteen-year cycle, if every lunar month is less by twelve hours only than a space of thirty days."
18,18,116590,S0022-1,bas laigu,∅,nas.rel.particle,,,,particle_relative,nasalising relative particle,arisairchenn ṁbes salt hiciunn nóidécdi madindib ṅuarib deac nammá bas laigu cachmí aescai oldaas trichtaige,"For it is certain that there should be a leap at the end of the nineteen-year cycle, if every lunar month is less by twelve hours only than a space of thirty days."
19,19,116591,S0022-1,bas laigu,laigu,bec,comp.,,,adjective,"small, little of size or quantity",arisairchenn ṁbes salt hiciunn nóidécdi madindib ṅuarib deac nammá bas laigu cachmí aescai oldaas trichtaige,"For it is certain that there should be a leap at the end of the nineteen-year cycle, if every lunar month is less by twelve hours only than a space of thirty days."
20,20,116592,S0022-1,cach mí,cach,cach,nom.sg.masc.,,,adjective_quantifier,"every, each, all, any ",arisairchenn ṁbes salt hiciunn nóidécdi madindib ṅuarib deac nammá bas laigu cachmí aescai oldaas trichtaige,"For it is certain that there should be a leap at the end of the nineteen-year cycle, if every lunar month is less by twelve hours only than a space of thirty days."
21,21,116593,S0022-1,cach mí,mí,mí,nom.sg.,,,noun,month,arisairchenn ṁbes salt hiciunn nóidécdi madindib ṅuarib deac nammá bas laigu cachmí aescai oldaas trichtaige,"For it is certain that there should be a leap at the end of the nineteen-year cycle, if every lunar month is less by twelve hours only than a space of thirty days."
22,22,116594,S0022-1,aescai,aescai,éscae,gen.sg.,,,noun," moon, month",arisairchenn ṁbes salt hiciunn nóidécdi madindib ṅuarib deac nammá bas laigu cachmí aescai oldaas trichtaige,"For it is certain that there should be a leap at the end of the nineteen-year cycle, if every lunar month is less by twelve hours only than a space of thirty days."
23,26,116595,S0022-1,ol·daas,ol·daas,ol·daäs,3sg.pres.ind.rel.,Yes,intrans.,particle_comparative,than (is),arisairchenn ṁbes salt hiciunn nóidécdi madindib ṅuarib deac nammá bas laigu cachmí aescai oldaas trichtaige,"For it is certain that there should be a leap at the end of the nineteen-year cycle, if every lunar month is less by twelve hours only than a space of thirty days."
24,23,116596,S0022-1,ol·daas,ol·,ol 3,,,,conjunction,comparative: than,arisairchenn ṁbes salt hiciunn nóidécdi madindib ṅuarib deac nammá bas laigu cachmí aescai oldaas trichtaige,"For it is certain that there should be a leap at the end of the nineteen-year cycle, if every lunar month is less by twelve hours only than a space of thirty days."
25,24,116597,S0022-1,ol·daas,∅,nas.rel.particle,,,,particle_relative,nasalising relative particle,arisairchenn ṁbes salt hiciunn nóidécdi madindib ṅuarib deac nammá bas laigu cachmí aescai oldaas trichtaige,"For it is certain that there should be a leap at the end of the nineteen-year cycle, if every lunar month is less by twelve hours only than a space of thirty days."
26,25,116598,S0022-1,ol·daas,·daas,ad·tá,3sg.pres.ind.rel.,Yes,intrans.,verb,"to be, to exist, ",arisairchenn ṁbes salt hiciunn nóidécdi madindib ṅuarib deac nammá bas laigu cachmí aescai oldaas trichtaige,"For it is certain that there should be a leap at the end of the nineteen-year cycle, if every lunar month is less by twelve hours only than a space of thirty days."
27,27,116599,S0022-1,trichtaige,trichtaige,tríchtaige,nom.sg.,,,noun,a period of thirty days ,arisairchenn ṁbes salt hiciunn nóidécdi madindib ṅuarib deac nammá bas laigu cachmí aescai oldaas trichtaige,"For it is certain that there should be a leap at the end of the nineteen-year cycle, if every lunar month is less by twelve hours only than a space of thirty days."
28,116730,116730,S0022-10,cruind,cruind,cruind,nom.sg.,,,adjective,"round, circular, globular, compact, precise",cruind ab omni parte soluti,"round, released from every part."
29,116731,116731,S0022-10,ab omni,ab,ab (Lat),,,,preposition,"from, away from, out of, down from, since, after, by, at, in, on, etc. ",cruind ab omni parte soluti,"round, released from every part."
30,116732,116732,S0022-10,ab omni,omni,omnis,abl.sg.,,,adjective_quantifier,"all, total, every",cruind ab omni parte soluti,"round, released from every part."
31,116733,116733,S0022-10,parte,parte,pars,abl.sg.,,,noun,"part, piece, share",cruind ab omni parte soluti,"round, released from every part."
32,116734,116734,S0022-10,soluti,soluti,solutus,nom.pl.masc.,,,adjective,,cruind ab omni parte soluti,"round, released from every part."
33,117332,117332,S0022-100,cuire,cuire,fo·ceird,2sg.impv.,No,intrans.,verb,"to put, to place, to set, to throw, to apply, to explain, to happen upon, case",cuire huait,Put from you!
34,117333,117333,S0022-100,huait,huait,ó 1,2sg.,,,preposition,"from, out of, by",cuire huait,Put from you!
35,117334,117334,S0022-101,it deidi,it,is 1,3pl.pres.ind.,No,intrans.,verb,"to be, the copula",it deidi,They are double.
36,117335,117335,S0022-101,it deidi,deidi,déide,nom.pl.masc.,,,adjective,"double, consisting of two things, pair ",it deidi,They are double.
37,117336,117336,S0022-102,acht deac,acht,ocht,,,,numeral,eight,acht deac archét,a hundred and eighteen
38,117337,117337,S0022-102,acht deac,deac,deëc,,,,numeral,"-teen, expressing the addition of 10 to the units 1-9, Ten",acht deac archét,a hundred and eighteen
39,117338,117338,S0022-102,ar chét,ar,ar 1,acc.,,,preposition,"in front of, for the sake of, in return for, on account of, because of; against (as protection); abstract: by virtue of, by means of, through",acht deac archét,a hundred and eighteen
40,117339,117339,S0022-102,ar chét,chét,cét 1,acc.pl.,,,noun_numeral,hundred,acht deac archét,a hundred and eighteen
41,3,117340,S0022-103,for·tét,for·tét,for·tét,3sg.pres.ind.,No,unclear,verb,"to help, to assist; to confirm, to corroborate, to take precedence, to prevail",fortét,It helps.
42,1,117341,S0022-103,for·tét,for·,for·,,,,particle_preverb,aspectual and lexicalized meanings,fortét,It helps.
43,2,117343,S0022-103,for·tét,∅,nas.rel.particle,,,,particle_relative,nasalising relative particle,fortét,It helps.
44,117344,117344,S0022-104,in gnathugud,in,in 1,nom.sg.masc.,,,definite_article,"the, definite article",in gnathugud,the custom
45,117345,117345,S0022-104,in gnathugud,gnathugud,gnáthugud,nom.sg.,,,verbal_noun,"the act of using, practising; use, wont, custom",in gnathugud,the custom
46,117346,117346,S0022-105,it secht trichit,it,is 1,3pl.pres.ind.,No,intrans.,verb,"to be, the copula",it secht trichit,They are seven thirties.
47,117347,117347,S0022-105,it secht trichit,secht,secht 1,,,,numeral,seven,it secht trichit,They are seven thirties.
48,117348,117348,S0022-105,it secht trichit,trichit,trícha,nom.pl.,,,noun_numeral,thirty,it secht trichit,They are seven thirties.
49,117349,117349,S0022-106,inna deich,inna,in 1,gen.sg.fem.,,,definite_article,"the, definite article",inna deich ar dib cétaib,the two hundred and ten
50,117350,117350,S0022-106,inna deich,deich,deich,,,,numeral,ten,inna deich ar dib cétaib,the two hundred and ten
51,117351,117351,S0022-106,ar dib cétaib,ar,ar 1,dat.,,,preposition,"in front of, for the sake of, in return for, on account of, because of; against (as protection); abstract: by virtue of, by means of, through",inna deich ar dib cétaib,the two hundred and ten
52,117352,117352,S0022-106,ar dib cétaib,dib,da,dat.du.masc.,,,adjective_numeral,two,inna deich ar dib cétaib,the two hundred and ten
53,117353,117353,S0022-106,ar dib cétaib,cétaib,cét 1,dat.pl.,,,noun_numeral,hundred,inna deich ar dib cétaib,the two hundred and ten
54,117354,117354,S0022-107,it secht,it,is 1,3pl.pres.ind.,No,intrans.,verb,"to be, the copula",itsecht ṅocht,They are seven eights.
55,117355,117355,S0022-107,it secht,secht,secht 1,,,,numeral,seven,itsecht ṅocht,They are seven eights.
56,117356,117356,S0022-107,ṅ-ocht,ṅocht,ocht,,,,numeral,eight,itsecht ṅocht,They are seven eights.
57,117357,117357,S0022-108,deeid,deeid,deëid,nom.sg.masc.,,,adjective,"idle, unemployed; averse to toil or labour, inactive; careless, unconstrained, unembarrassed, undistressed, at ease",deeid,lazy
58,2,117358,S0022-109,aimmded,aimmded,ad·midethar,3sg.impv.,No,intrans.,verb,"to aim at; to assay, try; to evaluate",aimmded,Let him try!
59,1,117359,S0022-109,aimmded,aim,ad· 1,,,,particle_preverb,aspectual and lexicalized meanings,aimmded,Let him try!
60,116735,116735,S0022-11,dú,dú,dú,nom.sg.,,,noun,"place, spot",dú,place
61,117360,117360,S0022-110,tri gné,tri,tre,acc.,,,preposition,"through (time or space), by means of, be reason of",trigné forsin apgitir,three kinds on the alphabet
62,117361,117361,S0022-110,tri gné,gné,gné,acc.sg.,,,noun,"kind, species, sort; form of outward appearance, countenance; face, aspect, way, manner",trigné forsin apgitir,three kinds on the alphabet
63,117362,117362,S0022-110,forsin apgitir,for,for,dat.,,,preposition,"upon, over, on",trigné forsin apgitir,three kinds on the alphabet
64,117363,117363,S0022-110,forsin apgitir,sin,in 1,dat.sg.fem.,,,definite_article,"the, definite article",trigné forsin apgitir,three kinds on the alphabet
65,117364,117364,S0022-110,forsin apgitir,apgitir,aipgitir,dat.sg.,,,noun,the letters of the alphabet,trigné forsin apgitir,three kinds on the alphabet
66,117365,117365,S0022-111,ind aile,ind,in 1,nom.sg.fem.,,,definite_article,"the, definite article",indaile,the second
67,117366,117366,S0022-111,ind aile,aile,aile 1,nom.sg.fem.,,,adjective_pronominal,"other, another, else, second",indaile,the second
68,117367,117367,S0022-112,cethir punct,cethir,cethir,nom.pl.masc.,,,noun,"four-footed animal, beast ; four",cethir punct ocdiubeirt,four points in waning
69,117368,117368,S0022-112,cethir punct,punct,punct,nom.pl.,,,noun,point,cethir punct ocdiubeirt,four points in waning
70,117369,117369,S0022-112,oc diubeirt,oc,oc,dat.,,,preposition,"at, by, besides, with (person)",cethir punct ocdiubeirt,four points in waning
71,117370,117370,S0022-112,oc diubeirt,diubeirt,díupart,dat.sg.,,,verbal_noun,"decreasing, depriving; deprivation, loss, waning (of the moon)",cethir punct ocdiubeirt,four points in waning
72,117371,117371,S0022-113,aesca,aesca,éscae,nom.sg.,,,noun," moon, month",aesca bís commatain ostalam,a moon that is over the earth till morning
73,117372,117372,S0022-113,bís,bís,ad·tá,3sg.hab.rel.,Yes,intrans.,verb,"to be, to exist, ",aesca bís commatain ostalam,a moon that is over the earth till morning
74,117373,117373,S0022-113,co mmatain,co,co 1,acc.,,,preposition,"to, until, as far as, towards ",aesca bís commatain ostalam,a moon that is over the earth till morning
75,117374,117374,S0022-113,co mmatain,mmatain,matan,acc.sg.,,,noun,morning ; Matins,aesca bís commatain ostalam,a moon that is over the earth till morning
76,117375,117375,S0022-113,os talam,os,ós 1,dat.,,,preposition,"over, above",aesca bís commatain ostalam,a moon that is over the earth till morning
77,117376,117376,S0022-113,os talam,talam,talam,dat.sg.,,,noun,"earth, world; ground ; land",aesca bís commatain ostalam,a moon that is over the earth till morning
78,117377,117377,S0022-114,frecuirthe,frecuirthe,fris·cuirethar,2sg.impv.,No,trans.,verb,"to apply to, to put forward ; to put towards, to apply (one's) mind to, attend to, to cultivate, to worship (with céill); to oppose; to reject, to set aside",frecuirthe ceill,Think over!
79,117378,117378,S0022-114,ceill,ceill,cíall,acc.sg.,,,noun,"sense, intelligence, mind, thought, meaning, interpretation, wisdom, good sense ",frecuirthe ceill,Think over!
80,117379,117379,S0022-115,ind óa,ind,in 1,dat.sg.neut.,,,definite_article,"the, definite article",indóa,less
81,117380,117380,S0022-115,ind óa,óa,oëc,comp.,,,adjective,"young, small, less (in comparative)",indóa,less
82,117381,117381,S0022-116,fotha,fotha,fothae,acc.sg.,,,noun,"cause, reason, ground; foundation, basis, bottom ",fotha,basis
83,117382,117382,S0022-117,in choiced,in,in 1,gen.sg.masc./neut.,,,definite_article,"the, definite article",inchoiced fichet,the twenty-fifth
84,117383,117383,S0022-117,in choiced,choiced,cóiced,nom.sg.,,,adjective_numeral_noun,"fifth, subst. neut. a province",inchoiced fichet,the twenty-fifth
85,117384,117384,S0022-117,fichet,fichet,fiche,gen.sg.,,,noun_numeral,twenty,inchoiced fichet,the twenty-fifth
86,1,117385,S0022-118,a coic,a,a 3,,,,particle_numerative, particle used before numerals in isolation,a coic indid óa quam xxx,the five by which it is less than thirty
87,2,117386,S0022-118,a coic,coic,cóic,,,,numeral,five,a coic indid óa quam xxx,the five by which it is less than thirty
88,5,117387,S0022-118,indid óa,ndid,is 1,3sg.pres.ind.,Yes,intrans.,verb,"to be, the copula",a coic indid óa quam xxx,the five by which it is less than thirty
89,3,117388,S0022-118,indid óa,i,i,dat.,,,preposition,"in, into",a coic indid óa quam xxx,the five by which it is less than thirty
90,4,117389,S0022-118,indid óa,∅,-(s)a·,,,,pronoun_relative,"which, who, whose",a coic indid óa quam xxx,the five by which it is less than thirty
91,6,117390,S0022-118,indid óa,óa,oëc,comp.,,,adjective,"young, small, less (in comparative)",a coic indid óa quam xxx,the five by which it is less than thirty
92,7,117391,S0022-118,quam xxx,quam,quam,,,,conjunction,"how, than",a coic indid óa quam xxx,the five by which it is less than thirty
93,8,117392,S0022-118,quam xxx,xxx,trícha,nom.sg.,,,noun_numeral,thirty,a coic indid óa quam xxx,the five by which it is less than thirty
94,117393,117393,S0022-119,hi coicid,hi,i,dat.,,,preposition,"in, into",hicoicid huathid,in the fifth period
95,117394,117394,S0022-119,hi coicid,coicid,cóiced,dat.sg.fem.,,,adjective_numeral_noun,"fifth, subst. neut. a province",hicoicid huathid,in the fifth period
96,117395,117395,S0022-119,huathid,huathid,úathad,dat.sg.fem.,,,adjective,"gramm. singular, a small number, a few, rare",hicoicid huathid,in the fifth period
97,1,116736,S0022-12,con·gaibet,con·,con· 1,,,,particle_preverb,aspectual and lexicalized meanings,congaibet,which contain
98,3,116737,S0022-12,con·gaibet,con·gaibet,con·gaib,3pl.pres.ind.,Yes,unclear,verb,"to contain, to include; to maintain, to preserve, to support, to uphold; to keep, to found, to set up, to settle",congaibet,which contain
99,2,122829,S0022-12,con·gaibet,∅,len.rel.particle,,,,particle_relative,leniting relative particle,congaibet,which contain
100,2,117396,S0022-120,is móu,is,is 1,3sg.pres.ind.,No,intrans.,verb,"to be, the copula",est ismóu oldata xii horae .i. xuiii horae,"[That] is, it is more than twelve hours, namely, eighteen hours."
101,3,117397,S0022-120,is móu,móu,mór,comp.,,,adjective,"great, big, ample, tall, large",est ismóu oldata xii horae .i. xuiii horae,"[That] is, it is more than twelve hours, namely, eighteen hours."
102,7,117398,S0022-120,ol·data,ol·data,ol·daäs,3pl.pres.ind.rel.,Yes,intrans.,particle_comparative,than (is),est ismóu oldata xii horae .i. xuiii horae,"[That] is, it is more than twelve hours, namely, eighteen hours."
103,4,117399,S0022-120,ol·data,ol·,ol 3,,,,conjunction,comparative: than,est ismóu oldata xii horae .i. xuiii horae,"[That] is, it is more than twelve hours, namely, eighteen hours."
104,5,117400,S0022-120,ol·data,∅,nas.rel.particle,,,,particle_relative,nasalising relative particle,est ismóu oldata xii horae .i. xuiii horae,"[That] is, it is more than twelve hours, namely, eighteen hours."
105,6,117401,S0022-120,ol·data,·data,ad·tá,3pl.pres.ind.rel.,Yes,intrans.,verb,"to be, to exist, ",est ismóu oldata xii horae .i. xuiii horae,"[That] is, it is more than twelve hours, namely, eighteen hours."
106,8,117402,S0022-120,xii horae,xii,(Roman numerals),,,,numeral,,est ismóu oldata xii horae .i. xuiii horae,"[That] is, it is more than twelve hours, namely, eighteen hours."
107,9,117403,S0022-120,xii horae,horae,hōra,nom.pl.,,,noun,hour,est ismóu oldata xii horae .i. xuiii horae,"[That] is, it is more than twelve hours, namely, eighteen hours."
108,11,117404,S0022-120,xuiii horae,xuiii,(Roman numerals),,,,numeral,,est ismóu oldata xii horae .i. xuiii horae,"[That] is, it is more than twelve hours, namely, eighteen hours."
109,12,117405,S0022-120,xuiii horae,horae,hōra,,,,noun,hour,est ismóu oldata xii horae .i. xuiii horae,"[That] is, it is more than twelve hours, namely, eighteen hours."
110,1,122697,S0022-120,est,est,sum,,,,verb,to be,est ismóu oldata xii horae .i. xuiii horae,"[That] is, it is more than twelve hours, namely, eighteen hours."
111,10,140048,S0022-120,.i.,.i.,.i.,,,,,"id est, it is",est ismóu oldata xii horae .i. xuiii horae,"[That] is, it is more than twelve hours, namely, eighteen hours."
112,1,117406,S0022-121,ni·roig,ni·,ní 3,,,,particle_negative_main,not,niroig di húair deac,It does not reach twelve hours.
113,3,117407,S0022-121,ni·roig,·roig,ro·saig,3sg.pres.ind.,No,trans.,verb,"to extend, to attain, to reach; to arrive, to come to",niroig di húair deac,It does not reach twelve hours.
114,2,117408,S0022-121,ni·roig,·roi,ro· 1,,,,particle_preverb,aspectual and lexicalized meanings,niroig di húair deac,It does not reach twelve hours.
115,4,117409,S0022-121,di húair,di,da,acc.du.fem.,,,adjective_numeral,two,niroig di húair deac,It does not reach twelve hours.
116,5,117410,S0022-121,di húair,húair,úar 2,acc.du.,,,noun,"hour, time, occasion; point of time",niroig di húair deac,It does not reach twelve hours.
117,6,117411,S0022-121,deac,deac,deëc,,,,numeral,"-teen, expressing the addition of 10 to the units 1-9, Ten",niroig di húair deac,It does not reach twelve hours.
118,117412,117412,S0022-122,fodlaidi,fodlaidi,fodlaidi,,,,verbal_of_necessity,"to be distributed, to be divided",fodlaidi,to be divided
119,5,117413,S0022-123,do·n-aurchain,do·naurchain,do·aurchain,3sg.pres.ind.,Yes,trans.,verb,"to foretell, to prophesy",donaurchain,that it portends
120,1,117414,S0022-123,do·n-aurchain,do·,do·,,,,particle_preverb,aspectual and lexicalized meanings,donaurchain,that it portends
121,2,117415,S0022-123,do·n-aurchain,∅,nas.rel.particle,,,,particle_relative,nasalising relative particle,donaurchain,that it portends
122,3,117416,S0022-123,do·n-aurchain,aur,ar·,,,,particle_preverb,aspectual and lexicalized meanings,donaurchain,that it portends
123,4,117417,S0022-123,do·n-aurchain,∅,fo·,,,,particle_preverb,aspectual and lexicalized meanings,donaurchain,that it portends
124,1,117418,S0022-124,ar ci·ric,ar,ar 2,,,,conjunction,"causal: since, for; final: so that",arciric,for what then?
125,2,117419,S0022-124,ar ci·ric,ci,ce,,,,particle_interrogative,"unstressed, used with the dependent form of the verb ; who, what, which",arciric,for what then?
126,4,117420,S0022-124,ar ci·ric,·ric,ro·icc,3sg.pres.ind.,No,unclear,verb,"to reach, to attain, to arrive, come to",arciric,for what then?
127,3,117421,S0022-124,ar ci·ric,·r,ro· 1,,,,particle_preverb,aspectual and lexicalized meanings,arciric,for what then?
128,117422,117422,S0022-125,ina riaglaib,i,i,dat.,,,preposition,"in, into",inariaglaib coraib,in its proper rules
129,117423,117423,S0022-125,ina riaglaib,na,3sg.masc./neut.poss.pron.,,,,pronoun_possessive,"his, its",inariaglaib coraib,in its proper rules
130,117424,117424,S0022-125,ina riaglaib,riaglaib,ríagol,dat.pl.,,,noun,"(religious) rule, rule (prescription, law, tradition), authority",inariaglaib coraib,in its proper rules
131,117425,117425,S0022-125,coraib,coraib,coäir,dat.pl.fem.,,,adjective,"fitting, proper, right ; even, well-propportioned, straight; correct, suitable",inariaglaib coraib,in its proper rules
132,1,117426,S0022-126,comscuchud,comscuchud,comscuchud,nom.sg.,,,verbal_noun,"the act of moving, changing, shaking",comscuchud suas ar ómun innasín,moving upwards for fear of the storms
133,4,117427,S0022-126,suas,suas,súas,,,,adverb,"up, upwards",comscuchud suas ar ómun innasín,moving upwards for fear of the storms
134,2,117428,S0022-126,suas,s,s-,compos.,,,particle_prefix,"“towards” + words denoting points on the compass, and words denoting location generally",comscuchud suas ar ómun innasín,moving upwards for fear of the storms
135,3,117429,S0022-126,suas,uas,ós 1,,,,preposition,"over, above",comscuchud suas ar ómun innasín,moving upwards for fear of the storms
136,5,117430,S0022-126,ar ómun,ar,ar 1,dat.,,,preposition,"in front of, for the sake of, in return for, on account of, because of; against (as protection); abstract: by virtue of, by means of, through",comscuchud suas ar ómun innasín,moving upwards for fear of the storms
137,6,117431,S0022-126,ar ómun,ómun,omun,dat.sg.,,,noun,"fear, the state of being afraid",comscuchud suas ar ómun innasín,moving upwards for fear of the storms
138,7,117432,S0022-126,inna sín,inna,in 1,gen.sg.fem.,,,definite_article,"the, definite article",comscuchud suas ar ómun innasín,moving upwards for fear of the storms
139,8,117433,S0022-126,inna sín,sín,sín 2,gen.pl.masc.,,,noun,storm,comscuchud suas ar ómun innasín,moving upwards for fear of the storms
140,117434,117434,S0022-127,i ndecadib,i,i,dat.,,,preposition,"in, into",indecadib,in the Decades [of Augustine]
141,117435,117435,S0022-127,i ndecadib,ndecadib,deccaid,dat.pl.,,,noun,"a decade, set of ten psalms",indecadib,in the Decades [of Augustine]
142,117436,117436,S0022-128,intan ṁbís,in,in 1,acc.sg.fem.,,,definite_article,"the, definite article",intan ṁbís inna arrad,when she is along with him
143,117437,117437,S0022-128,intan ṁbís,tan,tan,acc.sg.,,,noun,time,intan ṁbís inna arrad,when she is along with him
144,117438,117438,S0022-128,intan ṁbís,∅,nas.rel.particle,,,,particle_relative,nasalising relative particle,intan ṁbís inna arrad,when she is along with him
145,117439,117439,S0022-128,intan ṁbís,ṁbís,ad·tá,3sg.hab.rel.,Yes,intrans.,verb,"to be, to exist, ",intan ṁbís inna arrad,when she is along with him
146,117440,117440,S0022-128,inna arrad,in,i,dat.,,,preposition,"in, into",intan ṁbís inna arrad,when she is along with him
147,117441,117441,S0022-128,inna arrad,na,3sg.masc./neut.poss.pron.,masc.,,,pronoun_possessive,"his, its",intan ṁbís inna arrad,when she is along with him
148,117442,117442,S0022-128,inna arrad,arrad,arrad,dat.sg.,,,noun,"approximation ; side, company",intan ṁbís inna arrad,when she is along with him
149,117443,117443,S0022-129,cinn,cinn,cenn 1,gen.sg.,,,noun,"head; end-point, termination, exchange, purchase",cinn chomair,opposite
150,117444,117444,S0022-129,chomair,chomair,commar,gen.sg.,,,noun,??,cinn chomair,opposite
151,116738,116738,S0022-13,is í,is,is 1,3sg.pres.ind.,No,intrans.,verb,"to be, the copula",isí adéne,This is its speed.
152,116739,116739,S0022-13,is í,í,3sg.fem.indp.pron.,nom.sg.fem.,,,pronoun_independent,"she, her, it",isí adéne,This is its speed.
153,116740,116740,S0022-13,a déne,a,3sg.masc./neut.poss.pron.,,,,pronoun_possessive,"his, its",isí adéne,This is its speed.
